source_name,destination_name,target,longitude_source,latitude_source,mean_halt_times_source,longitude_destination,latitude_destination,mean_halt_times_destination,current_week,month,date,hour,distance_sourc_desti,train_travel_dist,train_travel_week,train_travel_week_avg,train_halt_time,train_halt_time_mean,train_halt_time_desti,train_halt_time_desti_mean,source_name_desti_count,source_name_train_count,source_week_train,source_month_train,source_desti_trains,source_desti_tot_dist,source_trains_time_count,source_trains_time_week_count,source_halt_week,current_day_trains,current_day_hour_train,destination_trains,destination_week_trains,destination_week_trains_hour,destination_hour_trains,destination_day_hour_trains,current_day_Monday,current_day_Saturday,current_day_Sunday,current_day_Thursday,current_day_Tuesday,current_day_Wednesday,is_weekend_True
147,1,0,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,0,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,0,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,0,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,0,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,0,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,0,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,0,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,2,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,2,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,2,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,2,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,2,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
147,1,0,4.356801,50.845658,634.16473988439,4.336531,50.835707,271.87270068338296,30,7,27,20,2.5094763361650116,2047.8363567822064,50.189526723300204,2.5094763361650103,22163.35260115604,22163.35260115604,6663.771932742804,185.10477590952235,92,92,42,37,31,77.7937664211153,31,42,13009.565281878527,183,47,32,31,31,31,31,0,0,0,0,0,1,0
